Time [s],Value,Parity Error,Framing Error
0.000025000000000,0x88,,Error
0.001125000000000,0xC4,,
0.002310000000000,0xBF,Error,
0.010825000000000,0xFF,,
0.012070000000000,0xFF,,
0.013690000000000,0xFF,,
0.015970000000000,0xFF,,
0.019835000000000,0xE7,,
0.021090000000000,0xFD,Error,
0.031775000000000,0xFF,,
0.033235000000000,0xFF,,
0.034505000000000,0xFF,,
0.039330000000000,0xFF,Error,Error
0.040445000000000,0x40,Error,
0.041590000000000,0xF6,,
0.043360000000000,0xFF,,
0.046210000000000,0xFF,,
0.050875000000000,0xFF,,
0.053625000000000,0xFF,,
0.055055000000000,0xFF,,
0.057805000000000,0xFF,,
0.059350000000000,0x21,Error,Error
0.060455000000000,0x63,,
0.061550000000000,0xFD,,
0.062760000000000,0xEF,Error,
0.064645000000000,0xFF,,
0.071340000000000,0xFF,,
0.073905000000000,0xFF,,
0.075800000000000,0xFF,,
0.077265000000000,0xFF,,
0.078415000000000,0xFF,,
0.083595000000000,0xFF,,
0.090375000000000,0xFF,,
0.092070000000000,0xFF,,
0.093780000000000,0xFF,,
0.095465000000000,0xFF,,
0.096840000000000,0xFF,,
0.102545000000000,0xFF,,
0.103765000000000,0xFF,,
0.111600000000000,0xFF,,
0.113430000000000,0xFF,,
0.119560000000000,0x79,,
0.120935000000000,0x76,Error,Error
0.122035000000000,0xAB,Error,Error
0.123150000000000,0xF7,Error,
0.124680000000000,0xFF,,
0.127080000000000,0xFF,,
0.130325000000000,0xFF,,
0.136810000000000,0xFF,,
0.138130000000000,0xFF,,
0.139700000000000,0x46,,
0.140835000000000,0x35,Error,
0.141940000000000,0x50,,
0.143120000000000,0xFD,Error,
0.150455000000000,0xFF,,
0.153155000000000,0xFF,,
0.154835000000000,0xFF,,
0.156070000000000,0xFF,,
0.157740000000000,0xFF,,
0.158875000000000,0xEF,Error,Error
0.160015000000000,0x4E,,Error
0.161180000000000,0xF6,Error,
0.162575000000000,0xFF,,
0.164050000000000,0xFF,,
0.172645000000000,0xFF,,
0.173890000000000,0xFF,,
0.179885000000000,0xFF,,
0.183110000000000,0xFF,,
0.184455000000000,0xFF,,
0.187460000000000,0xFF,,
