 ID,Nombre,Duración,Inicio,Fin,Predecesoras,Recursos,Personalizado 1,Personalizado 2,Personalizado 3,Personalizado 4,Personalizado 5,
1,Planificación,33días?,03/31/2020,05/14/2020,,,,,,,,
2,definición de alcances,10días?,03/31/2020,04/13/2020,,,,,,,,
3,definición de entregables,7.63días?,04/06/2020,04/15/2020,,,,,,,,
4,contrato con el cliente,11días?,04/09/2020,04/23/2020,,,,,,,,
5,Investigación,61días?,03/31/2020,06/23/2020,,,,,,,,
6,Estado del Arte,10.63días?,03/31/2020,04/14/2020,,,,,,,,
7,Estudio de Factibilidad,22días?,04/06/2020,05/05/2020,,,,,,,,
8,Análisis,30días?,04/13/2020,05/22/2020,,,,,,,,
9,Diseño,37días?,04/20/2020,06/09/2020,,,,,,,,
10,Detalle de alto nivel (HLD),16.5días?,05/25/2020,06/16/2020,,,,,,,,
11,Adquisición de componentes,14días?,06/02/2020,06/19/2020,,,,,,,,
12,Desarrollo,108días?,05/06/2020,10/02/2020,7,,,,,,,
13,Display LED,29días?,04/27/2020,06/04/2020,,,,,,,,
14,lectura de información del sistema existente,29días?,05/01/2020,06/10/2020,,,,,,,,
15,modelado,29días?,05/21/2020,06/30/2020,,,,,,,,
16,Detalle de bajo nivel (LLD),36.5días?,06/30/2020,08/19/2020,,,,,,,,
17,interfaz RS485,29días?,06/03/2020,07/13/2020,,,,,,,,
18,bus MVB,38días?,06/10/2020,07/31/2020,,,,,,,,
19,Placa de control,34días?,07/21/2020,09/04/2020,,,,,,,,
20,Desarrollo de firmware,69.5días?,06/15/2020,09/18/2020,,,,,,,,
21,diseño PCB,20días?,08/20/2020,09/16/2020,,,,,,,,
22,Protocolos de Comunicación,45días?,06/15/2020,08/14/2020,,,,,,,,
23,Scheduler,25días?,08/10/2020,09/11/2020,,,,,,,,
24,Integración,17.25días?,09/18/2020,10/13/2020,"10,16,20,22,23",,,,,,,
25,pruebas de funcionamiento display LED,29días?,08/18/2020,09/25/2020,"13,17",,,,,,,
26,pruebas de funcionamiento placa de control,30días?,09/17/2020,10/28/2020,"19,21",,,,,,,
27,pruebas de chequeo del protocolo de comunicación,33días?,09/14/2020,10/28/2020,"22,23",,,,,,,
28,Ensamble,20.5días?,10/13/2020,11/11/2020,24,,,,,,,
29,Montaje del sistema completo,24días?,09/25/2020,10/28/2020,"13,18,19,23",,,,,,,
30,Pruebas end to end,20.5días?,11/11/2020,12/09/2020,"24,28",,,,,,,
31,verificaciones,15días?,10/29/2020,11/18/2020,29,,,,,,,
32,documentación de requerimientos,26días?,04/20/2020,05/25/2020,2,,,,,,,
33,documentación de casos de uso,31días?,04/21/2020,06/02/2020,3,,,,,,,
34,documentación de pruebas de aceptación,19días?,04/27/2020,05/21/2020,"3,4",,,,,,,
35,documentación de errores encontrados,21días?,10/26/2020,11/23/2020,,,,,,,,
36,documentación de pruebas ad-hoc,23días?,11/03/2020,12/03/2020,,,,,,,,
37,documentación del firmware,46días?,09/18/2020,11/23/2020,20,,,,,,,
38,redacción de memoria del proyecto,29días?,10/29/2020,12/08/2020,"1,2,3,5,6,7,10,16,29",,,,,,,
39,redacción de artículos,12.13días?,12/09/2020,12/25/2020,38,,,,,,,
40,presentaciones,13días?,12/09/2020,12/25/2020,38,,,,,,,
