Time [s],Value,Parity Error,Framing Error
0.000025000000000,0x08,Error,Error
0.001125000000000,0x84,Error,Error
0.002265000000000,0x90,Error,Error
0.003395000000000,0x4E,Error,Error
0.004505000000000,0x00,Error,Error
0.005700000000000,0x00,Error,Error
0.006800000000000,0xC0,Error,Error
0.007915000000000,0xE8,,
0.009525000000000,0xFD,Error,
0.010630000000000,0x0B,,
0.011815000000000,0x3F,,
0.012950000000000,0x95,,
0.014300000000000,0xD7,Error,Error
0.015760000000000,0x03,,Error
0.016970000000000,0x00,Error,Error
0.018500000000000,0x00,Error,Error
0.019810000000000,0x08,,Error
0.021040000000000,0x44,Error,Error
0.022210000000000,0x01,,Error
0.023575000000000,0x80,,Error
0.024685000000000,0xDB,,Error
0.025855000000000,0xEE,Error,
0.027420000000000,0xFF,,Error
0.028535000000000,0xF7,,
0.030550000000000,0xFF,,Error
0.031665000000000,0xF1,,
0.033235000000000,0xB7,,
0.034505000000000,0x0D,,Error
0.035745000000000,0x00,Error,Error
0.036850000000000,0x02,,Error
0.038275000000000,0x00,,Error
0.039390000000000,0x80,,
0.040490000000000,0xE8,Error,
0.041590000000000,0xD0,,Error
0.042695000000000,0xA8,Error,
0.043850000000000,0xB7,Error,
0.044995000000000,0xF9,,
0.046210000000000,0x5A,Error,
0.047385000000000,0x4B,,Error
0.048490000000000,0x45,,
0.049585000000000,0x16,,Error
0.050700000000000,0xD8,Error,
0.051795000000000,0xD9,,
0.053040000000000,0x88,Error,Error
0.054150000000000,0xC4,,Error
0.055400000000000,0x90,,Error
0.056605000000000,0xBB,Error,
0.057805000000000,0xE6,Error,
0.058970000000000,0x67,,Error
0.060085000000000,0xD4,Error,
0.061250000000000,0x30,,Error
0.062445000000000,0x3E,,Error
0.063555000000000,0xDE,,Error
0.064665000000000,0x6F,Error,
0.065835000000000,0xB0,,Error
0.066945000000000,0x02,Error,Error
0.068045000000000,0x18,,
0.069140000000000,0x03,,Error
0.070265000000000,0xF5,Error,
0.071365000000000,0xFC,,
0.072770000000000,0x19,Error,Error
0.073875000000000,0x07,,
0.075060000000000,0x77,,
0.076200000000000,0x95,,
0.077350000000000,0x5F,,
0.078490000000000,0x6D,,Error
0.079615000000000,0x04,Error,Error
0.080850000000000,0x00,,Error
0.082095000000000,0x82,Error,Error
0.083200000000000,0x07,,
0.084360000000000,0x83,,
0.085455000000000,0xD0,,Error
0.086755000000000,0xC0,Error,Error
0.087860000000000,0xD9,Error,Error
0.088980000000000,0xDD,Error,
0.090075000000000,0xFF,,
0.091640000000000,0xFF,,Error
0.092760000000000,0xFF,Error,
0.094010000000000,0xBF,,Error
0.095465000000000,0xFB,Error,
0.096840000000000,0x93,Error,Error
0.098195000000000,0x22,Error,Error
0.099305000000000,0x00,Error,Error
0.100440000000000,0x00,Error,Error
0.101560000000000,0x82,Error,Error
0.102670000000000,0xC0,,
0.103765000000000,0x7F,,
0.105330000000000,0x26,,Error
0.106440000000000,0xDD,,Error
0.107590000000000,0x55,,
0.109610000000000,0xDF,Error,
0.110705000000000,0xBD,Error,
0.111805000000000,0x5A,Error,Error
0.112905000000000,0x18,Error,Error
0.114070000000000,0x00,,
0.115255000000000,0xA0,,Error
0.116835000000000,0x44,Error,Error
0.118025000000000,0x03,Error,Error
0.119310000000000,0x38,Error,
0.120405000000000,0x98,,Error
0.121615000000000,0x85,,
0.122780000000000,0xEB,,Error
0.124020000000000,0xFF,,
0.125345000000000,0xFF,,Error
0.126455000000000,0xF0,Error,
0.128465000000000,0xB7,,Error
0.129575000000000,0xC5,Error,
0.130675000000000,0xA1,Error,Error
0.131785000000000,0x14,Error,
0.132890000000000,0x08,Error,Error
0.134045000000000,0x08,,Error
0.135190000000000,0x03,,Error
0.136810000000000,0xD7,,Error
0.138130000000000,0x8C,,Error
0.139290000000000,0x0A,Error,Error
0.140465000000000,0x54,,
0.141570000000000,0xAD,,Error
0.142675000000000,0x52,Error,
0.143825000000000,0x20,,Error
0.144940000000000,0x1C,,Error
0.146135000000000,0x00,Error,Error
0.147235000000000,0xC0,,Error
0.148335000000000,0x6C,Error,
0.149435000000000,0x48,,Error
0.150540000000000,0x72,Error,
0.151640000000000,0xEF,Error,
0.152920000000000,0xAE,Error,
0.154065000000000,0xF3,,Error
0.156070000000000,0xDE,,
0.157185000000000,0xFF,,Error
0.158875000000000,0x07,,Error
0.160015000000000,0x4A,Error,Error
0.161180000000000,0x44,Error,
0.162285000000000,0x02,,Error
0.163390000000000,0x02,,
0.164485000000000,0x82,Error,Error
0.165615000000000,0x01,,Error
0.166715000000000,0x47,Error,
0.167850000000000,0xFF,,
0.168945000000000,0xBC,Error,Error
0.170245000000000,0xB5,,
0.171610000000000,0xBF,Error,
0.172740000000000,0xD9,Error,
0.173890000000000,0x35,Error,Error
